"","id","hhid","prov","male","age","marriage","edu","edu_p","health","work","industry","insurance","rural","total_income","t_income","total_asset","t_asset","nasset","net_asset","fina_asset","house_asset","risk_aver","finknow","finknow_int","finknow_inf","finknow_risk","finance_inf","ind_business","house","numhouse","cash","current_dep","time_dep","stock","stock_a","bond","bond_a","fund","fund_a","inter_fin","inter_fin_a","fin_planning","fin_planning_a","derivative","der_a","golden","golden_a","nonrmb","nonrmb_a","riskasset","pro_stock","fin_market","pro_fin_market","t_income2","age2"
"1","2013007786_1","2013007786","上海市",0,67,1,3,3,5,0,0,1,0,253925,12.4447942268077,1220114.5,14.0144552647646,1217614.5,14.0124041746914,594464.5,0,4,2,1,1,0,3,0,0,1,5000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,154.872903347586,4489
"2","2013007787_2","2013007787","上海市",0,70,1,4,4,5,0,0,1,0,100045,11.5133753637506,74300,11.2158662307059,68300,11.1316650455589,51100,0,1,2,0,1,1,1,0,0,1,2500,0,0,0,0,0,0,0,0,1,300,0,0,0,0,0,0,0,0,300,0,1,0.0059,132.557812266619,4900
"3","2013007800_2","2013007800","上海市",1,40,1,3,3,3,1,0,1,0,270150,12.5067326392722,8547500,15.9611494004956,7107500,15.7766611225073,266000,7e+06,5,1,0,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,156.418361310237,1600
"4","2013007806_1","2013007806","上海市",1,32,1,6,4,4,1,9,1,0,520650,13.162833309958,11789541,16.282723340458,11789541,16.282723340458,2339541,9e+06,3,2,0,1,1,3,0,1,2,0,5e+05,1e+05,1,4,0,0,1,125000,1,2000,1,80000,0,0,0,0,0,0,207004,0,1,0.0885,173.260180745741,1024
"5","2013007808_2","2013007808","上海市",1,68,1,3,3,4,0,0,1,0,125710,11.7417329459089,2748518,14.8265724152881,2748518,14.8265724152881,1125518,1500000,4,2,1,1,0,3,0,1,1,30000,60000,1e+05,1,3e+05,0,0,0,0,1,2000,1,3e+05,0,0,0,0,0,0,602000,0.2665,1,0.5349,137.868292573042,4624
"6","2013007810_1","2013007810","上海市",0,77,1,5,5,2,0,0,1,0,66000.3828125,11.0974158211811,20229,9.91487249740269,15229,9.63095678385169,18229,0,5,0,0,0,0,1,0,0,1,320,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.152637908201,5929
"7","2013007813_2","2013007813","上海市",1,64,1,3,3,4,0,0,1,0,134900,11.8122890421958,2531297.5,14.744242575093,2531297.5,14.744242575093,2334597.5,0,3,3,1,1,1,1,0,0,1,10000,1e+06,6e+05,1,10000,0,0,1,2e+05,1,20000,1,2e+05,0,0,0,0,0,0,430000,0.0043,1,0.1842,139.53017241638,4096
"8","2013007816_1","2013007816","上海市",1,61,1,6,6,5,0,0,1,0,146044,11.8916632251507,2666721.75,14.7963604670127,2666721.75,14.7963604670127,1154120.75,1500000,4,2,0,1,1,4,0,1,1,3000,0,7e+05,0,0,0,0,0,0,1,50000,0,0,0,0,0,0,0,0,50000,0,1,0.0433,141.411654260402,3721
"9","2013007817_1","2013007817","上海市",0,85,1,3,3,3,0,0,1,0,90175,11.4095075057717,73500,11.2050406852009,73500,11.2050406852009,53000,0,5,0,0,0,0,1,0,0,1,2000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.176861524262,7225
"10","2013007828_1","2013007828","上海市",1,58,0,4,2,3,0,0,1,0,45600,10.7276629955025,61212,11.0220985277109,61212,11.0220985277109,60612,0,5,1,1,0,0,2,0,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.082753345073,3364
"11","2013007881_1","2013007881","上海市",0,37,1,4,2,4,1,13,1,0,154911.484375,11.9506091642312,7770238.5,15.8658114168534,7770238.5,15.8658114168534,342238.71875,7100000,3,1,0,0,1,3,0,1,2,3000,60425,0,1,50000,0,0,0,0,0,0,1,141343,0,0,0,0,0,0,191343,0.1461,1,0.5591,142.817059396208,1369
"12","2013007884_1","2013007884","上海市",0,67,1,4,4,3,0,0,1,0,108012.25,11.5899999256,2010570,14.513928821923,2010570,14.513928821923,5500,1962820,5,0,0,0,0,1,0,1,1,2000,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.328098275409,4489
"13","2013007885_1","2013007885","上海市",0,57,1,4,4,5,0,0,1,0,-367,-5.90536184805457,3471925.5,15.0602198971589,3471925.5,15.0602198971589,462055.59375,3e+06,5,3,1,1,1,2,0,1,1,600,0,0,1,150000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150000,0.3246,1,0.3246,34.8732985564585,3249
"14","2013007896_2","2013007896","上海市",1,64,1,4,4,3,0,0,1,0,86328,11.3659092740436,4014466,15.2054148952722,4014466,15.2054148952722,966,4e+06,5,1,1,0,0,1,0,1,1,450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,129.18389362579,4096
"15","2013007897_1","2013007897","上海市",0,59,1,4,4,3,0,0,1,0,102470,11.5373253517938,3051001,14.9309802914601,3051001,14.9309802914601,21000,3e+06,5,0,0,0,0,1,0,1,1,0,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,133.109876273143,3481
"16","2013007898_1","2013007898","上海市",1,69,1,3,3,4,0,0,1,0,184095.5,12.1232099236851,6398525.5,15.6715781311609,6398525.5,15.6715781311609,223254.5,6142571,4,1,1,0,0,1,0,1,2,3500,5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,146.972218853736,4761
"17","2013007928_1","2013007928","上海市",0,65,0,3,3,4,0,0,1,0,36000,10.4912742174382,3019750,14.9206846044675,3019750,14.9206846044675,4850,3e+06,5,0,0,0,0,1,0,1,1,4000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,110.066834705485,4225
"18","2013007929_1","2013007929","上海市",0,58,1,4,4,4,0,0,1,0,300.350006103516,5.70494848161751,122850,11.7187193779493,122850,11.7187193779493,86850,0,5,0,0,0,0,1,0,0,1,1000,100,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.54643717791,3364
"19","2013007937_21","2013007937","上海市",1,62,0,4,4,4,0,0,1,0,55215,10.9189899344812,324945.15625,12.691411697072,324945.15625,12.691411697072,221745.15625,0,5,1,0,1,0,1,0,0,1,10000,50000,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.224341189302,3844
"20","2013007943_1","2013007943","上海市",1,73,1,6,6,2,0,0,1,0,244992.375,12.4089823665936,2077106,14.5464861367028,2077106,14.5464861367028,606222,1460884,5,2,1,1,0,1,0,1,1,5000,0,285492,1,50000,0,0,0,0,1,0,1,140308,0,0,0,0,0,0,190308,0.0825,1,0.3139,153.98284337443,5329
"21","2013007959_1","2013007959","上海市",0,69,1,3,3,3,0,0,1,0,215268.5,12.2796413651705,422434,12.9537885005591,422434,12.9537885005591,342384,0,3,1,0,0,1,3,0,0,1,10000,65000,1e+05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,150.789592057207,4761
"22","2013007960_1","2013007960","上海市",1,61,1,4,4,5,0,0,1,0,77042,11.252106006675,419455.3125,12.9467122735894,419455.3125,12.9467122735894,411675.3125,0,5,0,0,0,0,1,0,0,1,60,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.609889585452,3721
"23","2013007965_1","2013007965","上海市",0,57,1,4,2,3,0,0,1,0,181817,12.1107559657047,8504633,15.9561216317935,8504633,15.9561216317935,1491422.75,7e+06,5,2,1,1,0,3,0,1,1,5500,1e+05,0,1,1e+05,0,0,0,0,0,0,1,350000,0,0,0,0,0,0,450000,0.0671,1,0.3017,146.670410060853,3249
"24","2013007967_1","2013007967","上海市",0,57,1,6,6,4,1,5,1,0,267170,12.4956404388922,1080338.5,13.8927849759187,1065338.5,13.8788031470007,691346.5,0,1,3,1,1,1,4,1,0,1,2000,20000,0,1,55000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55000,0.0796,1,0.0796,156.141029978077,3249
"25","2013007972_21","2013007972","上海市",0,88,1,4,4,2,0,0,1,0,297191,12.6021303087293,7324352,15.8067152447904,7324352,15.8067152447904,5000,7312450,5,0,0,0,0,1,0,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.813688318193,7744
"26","2013007974_2","2013007974","上海市",1,43,1,3,3,5,1,0,1,0,314174,12.6577022515388,4393805,15.2957061522437,4213805,15.2538765979519,346805,1e+06,5,0,0,0,0,3,1,1,1,0,50000,50000,1,10000,0,0,0,0,1,5000,0,0,0,0,0,0,0,0,15000,0.0288,1,0.0433,160.217426288611,1849
"27","2013007975_2","2013007975","上海市",1,75,1,3,3,4,0,0,1,0,50219,10.8241487201278,8082660,15.905231584241,8082660,15.905231584241,54660,8e+06,5,0,0,0,0,1,0,1,1,4000,40000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,117.162195515445,5625
