"","id","hhid","prov","male","age","marriage","edu","work","industry","insurance","rural","t_income","total_asset","t_asset","net_asset","fina_asset","risk_aver_a","finknow_int_a","finknow_inf_a","finknow_risk_a"
"1","2013007786_1","2013007786","上海市",0,67,1,3,0,0,1,0,12.4447942268077,1220114.5,14.0144552647646,14.0124041746914,594464.5,4,1,1,2
"2","2013007787_2","2013007787","上海市",0,70,1,4,0,0,1,0,11.5133753637506,74300,11.2158662307059,11.1316650455589,51100,1,2,1,1
"3","2013007800_2","2013007800","上海市",1,40,1,3,1,0,1,0,12.5067326392722,8547500,15.9611494004956,15.7766611225073,266000,5,2,1,0
"4","2013007806_1","2013007806","上海市",1,32,1,6,1,9,1,0,13.162833309958,11789541,16.282723340458,16.282723340458,2339541,3,0,1,1
"5","2013007808_2","2013007808","上海市",1,68,1,3,0,0,1,0,11.7417329459089,2748518,14.8265724152881,14.8265724152881,1125518,4,1,1,0
"6","2013007810_1","2013007810","上海市",0,77,1,5,0,0,1,0,11.0974158211811,20229,9.91487249740269,9.63095678385169,18229,5,2,2,0
"7","2013007813_2","2013007813","上海市",1,64,1,3,0,0,1,0,11.8122890421958,2531297.5,14.744242575093,14.744242575093,2334597.5,3,1,1,1
"8","2013007816_1","2013007816","上海市",1,61,1,6,0,0,1,0,11.8916632251507,2666721.75,14.7963604670127,14.7963604670127,1154120.75,4,0,1,1
"9","2013007817_1","2013007817","上海市",0,85,1,3,0,0,1,0,11.4095075057717,73500,11.2050406852009,11.2050406852009,53000,5,2,2,0
"10","2013007828_1","2013007828","上海市",1,58,0,4,0,0,1,0,10.7276629955025,61212,11.0220985277109,11.0220985277109,60612,5,1,0,0
"11","2013007881_1","2013007881","上海市",0,37,1,4,1,13,1,0,11.9506091642312,7770238.5,15.8658114168534,15.8658114168534,342238.71875,3,2,2,1
"12","2013007884_1","2013007884","上海市",0,67,1,4,0,0,1,0,11.5899999256,2010570,14.513928821923,14.513928821923,5500,5,2,0,2
"13","2013007885_1","2013007885","上海市",0,57,1,4,0,0,1,0,-5.90536184805457,3471925.5,15.0602198971589,15.0602198971589,462055.59375,5,1,1,1
"14","2013007896_2","2013007896","上海市",1,64,1,4,0,0,1,0,11.3659092740436,4014466,15.2054148952722,15.2054148952722,966,5,1,0,0
"15","2013007897_1","2013007897","上海市",0,59,1,4,0,0,1,0,11.5373253517938,3051001,14.9309802914601,14.9309802914601,21000,5,2,2,0
"16","2013007898_1","2013007898","上海市",1,69,1,3,0,0,1,0,12.1232099236851,6398525.5,15.6715781311609,15.6715781311609,223254.5,4,1,2,0
"17","2013007928_1","2013007928","上海市",0,65,0,3,0,0,1,0,10.4912742174382,3019750,14.9206846044675,14.9206846044675,4850,5,2,2,0
"18","2013007929_1","2013007929","上海市",0,58,1,4,0,0,1,0,5.70494848161751,122850,11.7187193779493,11.7187193779493,86850,5,0,2,0
"19","2013007937_21","2013007937","上海市",1,62,0,4,0,0,1,0,10.9189899344812,324945.15625,12.691411697072,12.691411697072,221745.15625,5,0,1,0
"20","2013007943_1","2013007943","上海市",1,73,1,6,0,0,1,0,12.4089823665936,2077106,14.5464861367028,14.5464861367028,606222,5,1,1,0
"21","2013007959_1","2013007959","上海市",0,69,1,3,0,0,1,0,12.2796413651705,422434,12.9537885005591,12.9537885005591,342384,3,0,0,1
"22","2013007960_1","2013007960","上海市",1,61,1,4,0,0,1,0,11.252106006675,419455.3125,12.9467122735894,12.9467122735894,411675.3125,5,2,2,0
"23","2013007965_1","2013007965","上海市",0,57,1,4,0,0,1,0,12.1107559657047,8504633,15.9561216317935,15.9561216317935,1491422.75,5,1,1,0
"24","2013007967_1","2013007967","上海市",0,57,1,6,1,5,1,0,12.4956404388922,1080338.5,13.8927849759187,13.8788031470007,691346.5,1,1,1,1
"25","2013007972_21","2013007972","上海市",0,88,1,4,0,0,1,0,12.6021303087293,7324352,15.8067152447904,15.8067152447904,5000,5,2,2,0
"26","2013007974_2","2013007974","上海市",1,43,1,3,1,0,1,0,12.6577022515388,4393805,15.2957061522437,15.2538765979519,346805,5,2,2,2
"27","2013007975_2","2013007975","上海市",1,75,1,3,0,0,1,0,10.8241487201278,8082660,15.905231584241,15.905231584241,54660,5,2,2,0
"28","2013007979_1","2013007979","上海市",0,62,1,6,0,0,1,0,12.2237897663353,10689745,16.1847954286475,16.1847954286475,1339961.25,3,1,1,0
"29","2013007983_1","2013007983","上海市",1,62,1,4,0,0,1,0,11.983710039199,5405261.5,15.5028833890137,15.5028833890137,393711.53125,5,2,2,0
"30","2013007987_2","2013007987","上海市",1,64,1,4,0,0,1,0,11.8860946282776,5295303,15.4823307591765,15.4823307591765,78503,5,0,1,0
"31","2013007988_1","2013007988","上海市",1,61,1,4,1,12,1,0,11.60276616897,3668358.5,15.115254844769,15.115254844769,388241.59375,3,0,1,0
"32","2013007989_1","2013007989","上海市",1,71,1,3,0,0,1,0,11.5147288379153,3619200,15.1017635649039,15.1017635649039,19000,4,2,2,0
"33","2013007992_1","2013007992","上海市",1,54,1,2,1,0,1,0,11.9292899171724,4220323,15.2554222233675,15.2554222233675,177923,5,1,0,0
"34","2013008000_2","2013008000","上海市",1,64,1,4,0,0,1,0,12.2424286824908,10934100,16.2073969041791,16.2073969041791,3591000,5,0,1,1
"35","2013008001_1","2013008001","上海市",0,42,1,7,1,4,1,0,14.3505888927001,16072002,16.5925893099169,16.5925893099169,2743002,2,1,1,1
"36","2013008002_1","2013008002","上海市",1,72,1,7,0,0,1,0,12.1744529711497,6817206,15.7349602684596,15.7349602684596,453006,3,1,1,1
"37","2013008011_1","2013008011","上海市",0,31,0,5,1,12,1,0,12.6409023622682,4389427,15.2947092526144,15.2947092526144,689927.0625,3,0,1,0
"38","2013008014_2","2013008014","上海市",0,64,1,6,0,0,1,0,12.6209929124091,13116726,16.3893987676563,16.3893987676563,1097825.75,5,1,2,0
"39","2013008017_2","2013008017","上海市",1,88,1,4,0,0,1,0,11.4295438560312,6024083,15.6112758265874,15.6112758265874,23433,5,1,1,0
"40","2013008018_1","2013008018","上海市",0,59,1,3,0,0,1,0,11.6952470217642,653183.5625,13.3896134751874,13.3896134751874,454183.5625,3,0,1,0
"41","2013008024_3","2013008024","上海市",1,36,0,7,1,2,1,0,13.0418428889451,8283319.5,15.9297543518173,15.9297543518173,566319.625,3,1,1,2
"42","2013008026_1","2013008026","上海市",0,70,1,7,0,0,1,0,12.0749640298955,6296568,15.6555152810203,15.6555152810203,276567.90625,5,0,1,2
"43","2013008040_1","2013008040","上海市",0,81,1,5,0,0,1,0,11.7339387488752,5675900,15.551739699066,15.551739699066,160000,5,1,2,0
"44","2013008041_1","2013008041","上海市",1,66,1,7,0,0,1,0,11.305544528335,5425339.5,15.5065910360779,15.5065910360779,421539.375,5,1,1,0
"45","2013008044_1","2013008044","上海市",0,80,0,3,0,0,1,0,10.7675990713969,4160368,15.2411140898634,15.2411140898634,156268,5,2,1,0
"46","2013008046_2","2013008046","上海市",0,78,1,5,0,0,1,0,12.0047884285689,3388500,15.0358979035583,15.0358979035583,375000,5,0,0,1
"47","2013008049_2","2013008049","上海市",1,86,1,7,0,0,1,0,11.9118799456982,14530841,16.4917839141192,16.4917839141192,976641,4,1,1,0
"48","2013008050_2","2013008050","上海市",0,55,1,4,0,0,1,0,12.0348037820616,2459210,14.7153507181212,14.7153507181212,59205,5,2,1,0
"49","2013008071_1","2013008071","上海市",1,35,1,7,1,2,1,0,12.6544631344898,6209595,15.6416062343916,15.4563686460053,609995,4,1,1,0
"50","2013008075_1","2013008075","上海市",1,75,1,3,0,0,1,0,11.1844213979982,1977906,14.4975492672853,14.4975492672853,0,5,2,2,0
"51","2013008082_1","2013008082","上海市",1,49,0,5,1,2,1,0,11.1459115432363,3948283,15.1887913588307,15.1887913588307,244933,5,1,1,2
"52","2013008083_1","2013008083","上海市",1,59,1,4,1,10,1,0,10.5000157381824,348746.0625,12.7620993217314,12.7620993217314,340146.0625,5,0,2,1
"53","2013008094_1","2013008094","上海市",0,72,1,3,0,0,1,0,11.5991031612113,280500,12.5443290039449,12.5299660999445,253000,4,0,1,1
"54","2013008097_1","2013008097","上海市",1,59,1,7,0,0,1,0,8.56178407474411,9000808,16.0128249090485,16.0128249090485,998928,5,2,1,0
"55","2013008102_1","2013008102","上海市",0,69,1,6,0,0,1,0,12.2902988976577,9142654,16.0284612732718,16.0284612732718,540054,4,0,1,1
"56","2013008111_1","2013008111","上海市",0,41,1,8,1,11,1,0,10.4820652783529,12555076,16.3456356039207,16.3049963740155,4990526,4,1,1,1
"57","2013008127_1","2013008127","上海市",1,64,1,4,0,0,1,0,11.6287564577411,5552386.5,15.5297383932991,15.5297383932991,480686.3125,4,1,1,1
"58","2013008134_2","2013008134","上海市",1,45,1,5,0,0,1,0,10.571643794761,4068855,15.2188721910576,15.2188721910576,39555,4,1,1,0
"59","2013008143_3","2013008143","上海市",0,61,1,4,0,0,1,0,12.0806738081357,3254847,14.9956558279118,14.9956558279118,546437,3,0,1,0
"60","2013008148_1","2013008148","上海市",1,66,1,6,0,0,1,0,12.2599664307086,4215101,15.2541841111713,15.2541841111713,1148101,3,0,0,0
"61","2013008152_1","2013008152","上海市",0,48,1,4,1,6,1,0,11.8335586375617,4162405,15.2416035901876,15.2416035901876,582665,4,2,0,0
"62","2013008153_1","2013008153","上海市",1,74,1,3,0,0,1,0,11.4469726108017,3713750,15.127552705759,15.127552705759,7800,5,2,1,0
