,prov,m_cash,m_current_dep,m_time_dep,m_stock,m_bond,m_fund,m_int_fin,m_fin_planning,m_derivate,m_golden,m_nonrmb,m_house,
1,全国,1.96,3.69,2.54,0.12,0.02,0.07,0.18,0.73,0,0.01,0.01,59.64,
2,安徽省,2.16,2.96,2.24,0.09,0,0.02,0.18,0.38,0,0,0,61.55,
3,江苏省,2.19,3.34,3.64,0.08,0.01,0.05,0.14,0.99,0,0.06,0.01,67.19,
4,上海市,0.93,3.08,3.72,0.5,0.1,0.19,0.18,1.97,0,0.01,0.01,74.46,
5,浙江省,1.4,3.81,2.52,0.17,0.03,0.13,0.35,1.81,0.01,0,0,64.37,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,省份,全国,安徽省,江苏省,上海市,浙江省,,,,全国,安徽省,江苏省,上海市,浙江省
,现金,1.96,2.16,2.19,0.93,1.4,,,现金,1.96%,2.16%,2.19%,0.93%,1.40%
,活期存款,3.69,2.96,3.34,3.08,3.81,,,活期存款,3.69%,2.96%,3.34%,3.08%,3.81%
,定期存款,2.54,2.24,3.64,3.72,2.52,,,定期存款,2.54%,2.24%,3.64%,3.72%,2.52%
,股票,0.12,0.09,0.08,0.5,0.17,,,股票,0.12%,0.09%,0.08%,0.50%,0.17%
,债券,0.02,0,0.01,0.1,0.03,,,债券,0.02%,0.00%,0.01%,0.10%,0.03%
,基金,0.07,0.02,0.05,0.19,0.13,,,基金,0.07%,0.02%,0.05%,0.19%,0.13%
,互联网理财,0.18,0.18,0.14,0.18,0.35,,,互联网理财,0.18%,0.18%,0.14%,0.18%,0.35%
,金融理财,0.73,0.38,0.99,1.97,1.81,,,金融理财,0.73%,0.38%,0.99%,1.97%,1.81%
,衍生品,0,0,0,0,0.01,,,衍生品,0.00%,0.00%,0.00%,0.00%,0.01%
,黄金,0.01,0,0.06,0.01,0,,,黄金,0.01%,0.00%,0.06%,0.01%,0.00%
,非人民币资产,0.01,0,0.01,0.01,0,,,非人民币资产,0.01%,0.00%,0.01%,0.01%,0.00%
,房产,59.64,61.55,67.19,74.46,64.37,,,房产,59.64%,61.55%,67.19%,74.46%,64.37%
